name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"lagos,nigeria",1 07 2019,27.5,25,25.7,30.9,25,26.4,24.3,92.3,26,100,4.17,rain,0,0,33.5,16.9,225.9,1014.3,58.3,8.4,193.8,16.7,7,,2019-07-01T06:35:33,2019-07-01T19:04:59,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
"lagos,nigeria",2 07 2019,31,24,26.5,39.1,24,28.8,24.5,89.1,0,0,0,,0,0,33.1,18.4,236.7,1012.4,68.1,9.1,201.2,17.4,7,,2019-07-02T06:35:47,2019-07-02T19:05:08,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"lagos,nigeria",3 07 2019,30,24.8,26.9,36.8,24.8,29.4,24.7,88,0.7,100,12.5,rain,0,0,28.1,18.4,220.5,1012.5,54.8,9.4,202.8,17.6,7,,2019-07-03T06:36:00,2019-07-03T19:05:17,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",4 07 2019,27.3,25,25.8,31.2,25,26.4,25,95.2,8,100,4.17,rain,0,0,24.8,14.8,237.6,1013.5,61,8.6,112.3,9.8,4,,2019-07-04T06:36:14,2019-07-04T19:05:25,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,65203099999,DNMM,remote,65201099999"
"lagos,nigeria",5 07 2019,28,25,25.8,32.7,25,26.7,24.8,94.3,3,100,4.17,rain,0,0,24.1,16.6,246.8,1014.6,64.6,8.8,124.2,10.7,5,,2019-07-05T06:36:28,2019-07-05T19:05:32,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65213099999,DNMM,remote,65201099999"
"lagos,nigeria",6 07 2019,29,23.8,26.5,34.5,23.8,28.6,24,86.8,0,0,0,,0,0,30.6,14.8,264.2,1013.9,58.5,9.5,197.3,17,7,,2019-07-06T06:36:41,2019-07-06T19:05:39,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
"lagos,nigeria",7 07 2019,30,25,26.9,36.2,25,29.3,24.4,86.1,0.4,100,4.17,rain,0,0,42.8,18.7,242.2,1013.7,70.6,9.7,157.7,13.7,5,,2019-07-07T06:36:54,2019-07-07T19:05:45,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
"lagos,nigeria",8 07 2019,29,23,25.9,33.6,23,27.4,23.2,85.5,4,100,4.17,rain,0,0,42.5,24.1,225,1015.2,56.5,9.5,134.3,11.4,5,,2019-07-08T06:37:07,2019-07-08T19:05:51,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,65201099999"
"lagos,nigeria",9 07 2019,30,24.8,26.7,35.1,24.8,28.3,23.6,83.6,0,0,0,,0,0,35.3,36.5,241.3,1016.3,50.8,9.8,137.2,11.8,5,,2019-07-09T06:37:20,2019-07-09T19:05:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"lagos,nigeria",10 07 2019,30.1,24.8,26.8,36,24.8,28.7,24,85.6,0,0,0,,0,0,32.8,22.3,241.5,1015.8,54.6,9.5,192,16.6,7,,2019-07-10T06:37:33,2019-07-10T19:06:01,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
"lagos,nigeria",11 07 2019,29,24,25.7,33.6,24,26.5,23.7,89,6,100,4.17,rain,0,0,30.6,24.1,246.2,1014.6,67.7,8.2,109.8,9.3,4,,2019-07-11T06:37:46,2019-07-11T19:06:05,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",12 07 2019,26,23,24.6,26,23,24.6,23.6,94.3,4,100,8.33,rain,0,0,25.9,14.8,257,1015.4,66,7.7,21.6,1.8,1,,2019-07-12T06:37:58,2019-07-12T19:06:08,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",13 07 2019,30,23,25.9,35.1,23,27.4,23.4,86.9,3,100,4.17,rain,0,0,31.7,16.6,225.9,1015.8,56.6,7.7,199.6,17.4,6,,2019-07-13T06:38:10,2019-07-13T19:06:11,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,65201099999"
"lagos,nigeria",14 07 2019,30,23.8,26.3,35.1,23.8,27.9,23.5,85.3,0,0,0,,0,0,30.6,18.4,256.5,1014.9,54.3,8.6,186.2,16.1,7,,2019-07-14T06:38:22,2019-07-14T19:06:13,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,65201099999"
"lagos,nigeria",15 07 2019,28.8,23.9,25.7,32.6,23.9,26.4,23.3,87.1,0.8,100,4.17,rain,0,0,32.4,16.6,272.7,1013.7,62,9.2,94.9,8.2,4,,2019-07-15T06:38:33,2019-07-15T19:06:14,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",16 07 2019,26,22.5,24.2,26,22.5,24.2,23.1,93.8,33,100,4.17,rain,0,0,28.4,18.4,267.4,1014.4,53.4,9.1,193.6,16.8,6,,2019-07-16T06:38:44,2019-07-16T19:06:14,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",17 07 2019,30.8,21.6,25.8,36.2,21.6,27.5,23.1,85.9,0,0,0,,0,0,31,18.4,266.3,1015.2,50.2,8.7,239.7,20.7,8,,2019-07-17T06:38:55,2019-07-17T19:06:14,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
"lagos,nigeria",18 07 2019,27,24,25.5,30.1,24,26.5,23.3,87.6,1,100,4.17,rain,0,0,38.9,13,267.8,1014.1,60.1,9.9,195.8,16.9,7,,2019-07-18T06:39:06,2019-07-18T19:06:13,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999"
"lagos,nigeria",19 07 2019,28,24,25.8,31.9,24,26.6,23.5,87.7,0.1,100,4.17,rain,0,0,37.1,16.6,247.1,1014.8,69.3,10,174,15.1,7,,2019-07-19T06:39:16,2019-07-19T19:06:12,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"lagos,nigeria",20 07 2019,28.6,23.1,25.4,32.7,23.1,25.9,23.4,88.6,6.7,100,41.67,rain,0,0,32.8,20.5,248.3,1014.6,88.6,9.8,127,10.9,4,,2019-07-20T06:39:25,2019-07-20T19:06:10,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",21 07 2019,30,24,26.5,35.1,24,27.9,23.3,83.7,0,0,0,,0,0,33.8,20.5,251.7,1014.7,61.7,9.9,190.8,16.5,6,,2019-07-21T06:39:35,2019-07-21T19:06:07,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"lagos,nigeria",22 07 2019,31,18.9,26.3,35.5,18.9,28,23,83,1,100,4.17,rain,0,0,32,31.7,254.5,1014.8,55.5,9.9,220.4,19,7,,2019-07-22T06:39:44,2019-07-22T19:06:03,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",23 07 2019,26,24,24.8,26,24,24.8,23.6,93.5,41,100,8.33,rain,0,0,32,16.6,263.2,1014.5,67.8,7.5,190.1,16.3,6,,2019-07-23T06:39:52,2019-07-23T19:05:58,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,VRJU8,DNMM,65201099999"
"lagos,nigeria",24 07 2019,29,23,25.6,33.6,23,26.7,23.6,89,0.2,100,4.17,rain,0,0,30.2,16.6,253.4,1014,54.8,8.7,242.7,20.9,8,,2019-07-24T06:40:00,2019-07-24T19:05:53,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"lagos,nigeria",25 07 2019,30,23.4,26.1,35.6,23.4,27.6,23.5,86.6,0,0,0,,0,0,31.3,18.5,250.3,1014,65.7,8.7,168.6,14.6,7,,2019-07-25T06:40:08,2019-07-25T19:05:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
